Position,Location,Organization,Websites,Description,Goal,Benefits,Qualifications,Time,Training,Interest
Resource Development Assistant,  M/B/C/V,"  Habitat for Humanity, Halton - Mississauga",https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=2192&MenuItemID=1,"
DescriptionThe role of a 'Resource Development Assistant' is to actively reach out to the community, meeting directly with potential donors to ask for donation of materials and/or funds to support the ReStore and HFH Halton-Mississauga, which in turn allows us to continue to raise funds for our upcoming construction projects in the Halton-Mississauga community. Responsible to: HFHHM's Resource Development Manager  Time Commitment: Minimum 4-8 hours per week.Hours of Operation: Monday to Friday from 9:00am to 6:00pm Volunteer engagement: 3-6 month commitment Locations: > 1800 Appleby Line, Unit 13, Burlington, Ontario> 4500 Dixie Rd, Mississauga, OntarioPosition Duties:● Contact potential manufacturers/donors via email, telephone, or in person in order to schedule appointments● Access to vehicle as presentations/solicitations may be off site● Gives presentations to the various manufacturers and companies scheduled (accompanied by a staff member)● Assists in the preparation of 'PowerPoint presentations' as required● Provides assistance to our Researcher on products/manufacturers in the Halton-Mississauga Region● Communicate regularly via email ● Provides weekly progress updates (post presentations) to the manager via email, by telephone, and/or in personPLEASE APPLY AS SOON AS POSSIBLE (HFHMH is now in its busy season)
","
GoalTo carry out the our mission, ""To use our knowledge, skills, community relationships, volunteers and other resources to create and promote safe and affordable home ownership options with the aim of alleviating the cycle of poverty within our community of Habitat for Humanity Halton-Mississauga"".
","
Benefits- Use professional skills in a volunteer capacity- Refine 'customer service', 'marketing/promotion', and 'fundraising' skills through direct experience (enhance your resume)- Network with building suppliers and others in the community- Be part of a high profile charity that builds needed housing in your community- 10% off 'ReStore' purchases- Training & development- Letter of Reference
","
Position Qualifications● Understanding of the Habitat for Humanity philosophy/mission and the desire to promote it● Excellent verbal/written communication skills, plus the ability to communicate effectively with HFHHM staff members, volunteers, and the community● Comfortable making contacts via phone calls, emails, or in person● Strong presentation skills - a background in sales is an asset but not mandatory● Knowledge of Microsoft Office (Word, Excel, PowerPoint, and Outlook)● Facility in using Google 'Cloud' is an asset● Previous experience with in a volunteer management or human resource role an asset, not mandatory● Ability to work and lead a team and to work independently ● Excellent creative and organizational skills● Detail orientedMin Age: 16    Police Check: No
","
Time Commitment Duration:Medium Term (4 - 6 months)Start Date:2018-06-04 Monday Morning, Monday Afternoon, Tuesday Morning, Tuesday Afternoon, Wednesday Morning, Wednesday Afternoon, Thursday Morning, Thursday Afternoon, Friday Morning, Friday AfternoonTime Commitment: Minimum 4-8 hours per week.Hours of Operation: Monday to Friday from 9:00am to 6:00pmSchedule may involve hours/appointments outside 'Restore' hours, that will accommodate potential donors Length of volunteer engagement: 3 - 6 month commitment
","
TrainingOrientation will be provided to successful candidates
","
Area(s) of Interest: Fundraising, Office Administration, Customer Service, Audio & Visual Production, Marketing/Promotion, Research/Evaluation
"
SPECIAL EVENT CREW VOLUNTEER (at our facilities & in the field),  Mississauga,"  Habitat for Humanity, Halton - Mississauga",https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=2184&MenuItemID=1,"
DescriptionThe role of a 'Special Event Crew Volunteer' is to act as an ambassador for the affiliate at communityevents while delivering the affiliate's key messages and promoting ways to the public on how to getinvolved as a volunteer, donor, and/or sponsor.Responsible to: Coordinator of Special Events (Volunteer Relations Committee) and/or Coordinatorof Volunteer ServicesTime Commitment: On an ""as needed"" basis. 'Special Event Crew' must be flexible with theirtime as these events may take place in the evenings and/or on weekendsDuration of engagement: MINIMUM 6 monthsLocations: > 1800 Appleby Line (Unit 13), Burlington > 4500 Dixie Rd, Mississauga> various locations in the affiliate service areaPosition Duties:● Represent HFHHM at local fairs, festivals and/or HFH Halton-Mississauga events(Recognition, Fundraising)● Distribute information cards, business cards and flyers to the public● Assist with display setup and tear down● Answer event participants questions● Update the public on current build projects, volunteer needs, sponsor/donor opportunities andcurrent fundraising events● Must be able to take the initiative when needed● Able to travel throughout Halton Region to events independently● Assist with other duties as assignedWorking Conditions: Affiliate location and various locations in the affiliate service areaParticipant Group: Special Event Participants, Affiliate Staff and VolunteersPLEASE APPLY for the 'position' at the EARLIEST OPPORTUNITY.
","
GoalPurpose: To carry out our mission: ""To use our knowledge, skills, community relationships, volunteers and other resources to create and promote safe and affordable home ownership options with the aim of alleviating the cycle of poverty within our community of Habitat for Humanity Halton-Mississauga"".
","
Benefits- Use professional skills in a volunteer capacity- Satisfaction of contributing to HFHHM's mission-Training development- 10% off ReStore purchases- Letter of Reference- Socially connect with your community- HFHHM T-shirt
","
Position Qualifications● Knowledge of Microsoft Office (Word, Excel, PowerPoint and Outlook)● Ability to work as a team and to work independently● Excellent creative and organizational skills● Friendly, approachable and outgoing● Previous experience with special events an asset, not mandatory● Knowledge of volunteer management and human resource legislation● Excellent verbal/written communication skills and the ability to communicate effectively with HFHHM community, staff members, and volunteers● Must complete Safety Health and Environment trainingMin Age: 16    Police Check: No
","
Time Commitment Duration:Long Term (More than 6 months)Start Date:2018-06-04 Monday Morning, Monday Afternoon, Tuesday Morning, Tuesday Afternoon, Wednesday Morning, Wednesday Afternoon, Thursday Morning, Thursday Afternoon, Friday Morning, Friday AfternoonMINIMUM 6 months commitment (hours will vary, depending upon need)
","
TrainingVolunteer must complete Safety Health and Environment training, to be provided by HFHHM.
","
Area(s) of Interest: Fundraising, Office Administration, Event Planning, Marketing/Promotion
"
Event Volunteer,  Caledon,  Caledon Special Olympics,https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=2251&MenuItemID=1,"
DescriptionYou don't need a sports background to volunteer with Caledon Special Olympics. All you need is enthusiasm for helping empower people with intellectual disabilities through sport. Many volunteer positions volunteers support our athletic programs and coaching, AND our fundraisers and other activities within the local community.As an 'Event Volunteer', your valuable contribution will make our events happen, and you will be key to their success!
","
GoalThe Special Olympics would not exist, and could not have been created, without the time, energy, commitment, and enthusiasm of people just like you, individuals who choose to take a little time from busy schedules to make the world a better place. More than 400 Special Olympic coaches and other volunteers in support across the province make our programs possible and make a huge difference in the lives of our athletes.As an 'Event Volunteer', you will assist us with our sports/athletic programs and with our fundraisers and other activities that are held throughout the year.
","
BenefitsWHY VOLUNTEER WITH CALEDON SPECIAL OLYMPICS?There are many reasons to get involved, and many benefits, including:- Building friendships and networking connections- Developing new skills for personal and professional development- Gaining volunteer hours for school programs- Getting involved with your community- Sharing your love of sports and athletics- Opportunity to learn, and promote by your example, diversity and inclusiveness in your communityAnd, most of all, experiencing the joy of working with and supporting our athletes.
","
Position Qualifications***** HOW TO BECOME A VOLUNTEER *****> STEP 1: Reaching Out! Contact Us! Call Judith 416-826-0058 OR Email: [email protected]>> STEP 2: Volunteer Registration FormCaledon will provide you with a Volunteer Registration Form >>> STEP 3: Screening Complete a Criminal Record CheckYou can obtain the screening form from your local Caledon OPP Detachment 15924 Innis Lake Road Caledon EastCall (905) 584-2241 This is strictly for risk management purposes to ensure that all volunteers and athletes are safe and protected. Fee waived for committed Caledon Special Olympics volunteers>>>> STEP 4: Submission of FormsSubmit the completed Volunteer Registration Form and Criminal Record Check to your Special Olympics Club Coordinator.>>>>> Step 5: Clearance to VolunteerAfter the organization receives and processes your information, you will be contacted.Min Age: 15    Police Check: Yes
","
Time Commitment Duration:Any Duration AnytimeFlexible, depending upon the scheduling of particular events
","
TrainingComplete ONLINE Volunteer Orientation Training! Once this training has been completed you will be accredited for the Special Olympics programPLUS, further training that is specific to the events scheduled and the roles that our volunteers will play
","
Area(s) of Interest: Fundraising, Sports & Recreation, Customer Service, Seasonal/Special Event, Event Planning, Marketing/Promotion, Program Coordination, Volunteer Coordination
"
Homework Help Tutor,  Brampton,  Salvation Army Peel Shelters and Housing Services,https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=2226&MenuItemID=1,"
Description• Tutor children and youth aged 4 - 18 who need help with their homework • Role model appropriate behaviours and attitudes • Ensure that all equipment relating to the program room is stored and secured properly• Interact with parents and children in a positive, non-judgmental manner• Ensure that all information pertaining to clients, staff and volunteers remains strictly confidential, and that activity records and statistics are secured in order that their absolute confidentiality is assured• Provide emergency first aid, and file incident/accident reports as necessary • Read and adhere to FLRC Policies and Procedures and the Salvation Army's Code of Conduct while performing duties • Report any conflicts of interest, policy and procedure violations, breaches of confidentiality and/or breaches to the Code of Conduct to supervisor immediately• Perform other duties as assigned by supervisor
","
GoalTutor children and youth who need help with their homework during our in-house homework help program.
","
Benefits• Opportunity to use/enhance your teaching skills/experience• Support a local shelter in a significant role• Get to know your community and add to your connections• Gain experience working with at-risk children and youth
","
Position Qualifications• Knowledge of, and comfortable with, the subject(s) you will tutor• Familiarity with applicable teaching methods would be helpful• Caring/patient attitude teaching ages from 4 to 18• Vulnerable Sector Check dated within the last 6 months• Negative 2-step tuberculosis skin test• Immunization recordMin Age: 16    Police Check: Yes
","
Time Commitment Duration:Any Duration Monday Evening, Wednesday EveningChoose your hours! Mondays: 6:30pm - 8:00pm or Wednesdays: 6:30pm - 8:00pm
","
TrainingOnce the volunteer application is completed, the prospective volunteer will be interviewed by the Volunteer Coordinator and references will be called. If selected, a vulnerable sector check must return clear, and a 2-step tuberculosis skin test must return negative, and an immunization record must be provided prior to orientation. Once provided, volunteers are required to attend an orientation with the Volunteer Coordinator. Once completed, volunteer will orient with the Child and Youth Program Coordinator, during which volunteers are expected to read and understand policies and procedures related to children’s services.
","
Area(s) of Interest: Education & Learning, Youth Programs, Literacy, Shelters
"
Graphic & Web Designer,  M/B/C/V,  The Dream Never Dies Foundation,https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=2194&MenuItemID=1,"
Description• Create images that identify/promote 'The Dream Never Dies Foundation' events• Develop graphic(s) for flyers, event tickets, and our website• Select colors, images, text styles, and layout• Submit designs to the Executive Director for review/approval• Review designs for errors before printing or publishing them.
","
Goal'The Dream Never Dies Foundation' seeks to increase its visibility in the communities that it serves. To accomplish this, the charity wishes to develop distinctive graphics that are reflective of its purpose and mission, with the help of a volunteer Graphic & Web Designer.
","
BenefitsAn opportunity to enhance your skills and talent while gaining experienceBuild your resume and referencesBecome a resource in your community
","
Position Qualifications• A passion for volunteering with interest in graphic design• Strong oral and written communication skills• Willingness to share their ideas openlyALL APPLICATIONS should include samples or a portfolio of the applicant's work.Min Age: 16    Police Check: No
","
Time Commitment Duration:Any DurationStart Date:2018-04-19 Monday Evening, Tuesday Evening, Wednesday Evening, Sunday Afternoon, Sunday EveningFlexible work schedule
","
TrainingOrientation to 'The Dream Never Dies Foundation' will be provided.
","
Area(s) of Interest: Information Technology, Audio & Visual Production, Event Planning, Graphic/Web Design, Marketing/Promotion, Volunteer Coordination
"
Board of Directors - Member,  Mississauga,  Peel Senior Link,https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=2175&MenuItemID=1,"
DescriptionRecruitment of new Board members is an ongoing process led by the Peel Senior Link Board to help identify and recommend potential candidates.   The Board provides oversight and support for this Health Service Provider as it works to achieve an important mission to ""Help older adults maintain their independence, stability and dignity, right in the security of their own home or apartment, through quality and valued services"".
","
GoalTo provide mission-based leadership and strategic governance on behalf of Peel Senior Link.  Providing policy direction and oversight to a unique award- winning community organization providing amazing support for seniors.
","
Benefits• Gain expertise through involvement in issues • Professional Development• Broaden connections and build valuable networks• Unique opportunity to participate, plus use your voice and connections, to help sustain and further Peel Senior Link's mission
","
Position QualificationsServing on Peel Senior Link's Board is a part-time appointment, involving a significant commitment and attendance at Board related meetings, Board education sessions, community and stakeholder engagements and/or events during and outside normal business hours.  Directors will be elected for an initial term of one, two, or three years, and can be renewed for an additional term.Peel Senior Link is seeking energetic, committed and collaborative individuals who reflect the community we live and/or work in. We need your experience in any of the following priority areas:•	health care•	legal•	financeInterested individuals are encouraged to visit www.peelseniorlink.com to obtain(a) a Director Nominations package and (b) an application form.Min Age: 18    Police Check: Yes
","
Time Commitment Duration:Special EventStart Date:2018-06-01 AnytimeOur Board meets a minimum of 6 times per year and meetings are normally held at our head office in Mississauga
","
TrainingInterviews will be conducted.
","
Area(s) of Interest: Legal, Boards & Committees, Finance, Senior Support
"
Marketing Director,  Caledon,  Abbeyfield Caledon,https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=1763&MenuItemID=1,"
DescriptionAbbeyfield is an International society, founded in England more than 50 years ago, dedicated to providing older people with affordable, companionable and secure housing in a family-sized household within their local community. Abbeyfield Houses are set up and run on a not-for-profit basis under the management of a volunteer board of directors. Costs, which include meals, are shared by residents.The Abbeyfield Caledon House is located in the rural area of the Town of Caledon in the village of Caledon East, just north of Brampton.  The House, which was built to accommodate twelve seniors and the House Manager, opened its doors to receive its first resident in the fall of 2010. For more information please visit our website at abbeyfieldcaledon.org During the period we have been operating, almost six years now, we have never been able to fill all twelve rooms at one time. Presently only nine of twelve rooms are occupied. It is not so much that we have a high turnover of residents (although given the residents' ages and health conditions this is a factor).  It is more than we have a hard time reaching the independent seniors our facility was designed to accommodate and letting them know what we have to offer.
",nan,"
BenefitsRewarding experience gained assisting the elderly in finding affordable, companionable and secure housing.
","
Position QualificationsHands-on Marketing Director that is prepared to develop and implement a marketing plan to target potential residents. We need someone who is willing to take the lead in doing the ""grunt work"" to get the action plan under way. Someone prepared to"" walk the talk"" and not merely to develop an academic marketing model. Min Age: 17    Police Check: Yes
","
Time Commitment Duration:Long Term (More than 6 months) AnytimeFlexible work schedule
","
TrainingIf you are interested in further exploring this position the next step might be a tour of our facility.  Perhaps you are available to have lunch or dinner with some of our Board members at Abbeyfield Caledon.  This would provide you the opportunity to meet our residents; they are our best salespersons.
","
Area(s) of Interest: Boards & Committees, Marketing/Promotion, Senior Support
"
Family Room Volunteer - Credit Valley Hospital,  Mississauga,  Ronald McDonald House (Charities Toronto),https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=1014&MenuItemID=1,"
DescriptionIn order to support families from the local community, we are expanding our services throughout the Greater Toronto Area through our Family Room Program which provides a soothing place of comfort, care and compassion within the walls of the hospital, where families can rest, retreat and relax while being just steps away from their children and away from the hospital environment. We presently have 6 family rooms within the Greater Toronto Area, and one opening in Health Sciences North in Sudbury. We require volunteers for the Family Room in Credit Valley Hospital. Why We Want You:	  The Ronald McDonald House Toronto Family Room volunteer provides a warm, welcoming environment for the families who use the Family Room. Volunteers make the families feel at ""home"", ensuring comfort during a most stressful and frightening time.
","
GoalSince 1981, Ronald McDonald House Toronto (RMH Toronto) has served as a welcoming home for out-of-town families who travel to Toronto seeking medical care for their seriously ill children. When families stay at our House they receive more than just a cozy place to sleep during their child's stay or during treatment time at a nearby hospital. We also provide specialized programs and support services to help bring some joy and normalcy back into everyone's lives.
","
BenefitsFamily Rooms provide a ""home away from home"" within a hospital setting so parents can rest and retreat just steps away from where their sick child is being treated. As a volunteer you will be helping these families.
","
Position QualificationsWe Can't Budge On:	  A current Vulnerable Screenings Police Check and two current references. Hospital orientation and immunization policiesMin Age: 18    Police Check: Yes
","
Time Commitment Duration:Long Term (More than 6 months) Monday Morning, Monday Afternoon, Monday Evening, Tuesday Morning, Tuesday Afternoon, Tuesday Evening, Wednesday Morning, Wednesday Afternoon, Wednesday Evening, Thursday Morning, Thursday Afternoon, Thursday Evening, Friday Morning, Friday Afternoon, Friday Evening, Saturday Morning, Saturday Afternoon, Saturday Evening, Sunday Morning, Sunday Afternoon, Sunday EveningWe require one 3 hour shift a week for 6 months. The shifts are 9am - noon; noon - 3 pm; 3-6 pm; 6-9 pm We need 6 months of your valuable time – one 3 hour shift per week, same day, same time. Monday through Sunday (Day, Afternoon and Evening)
","
TrainingOrientation ; Training is required ; Your orientation and training will be provided by the Family Room Coordinator. You will also be required to attend the hospital orientation session
","
Area(s) of Interest: Crisis, Distress & Emergency Response, Parent & Child Support, Program Coordination
"
Breakfast Food Ambassador,  Brampton,  Regeneration Outreach Community,https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=2098&MenuItemID=1,"
DescriptionWe are looking for morning people with a heart for those in need, to help serve at hot nutritious breakfast from 7AM to 10AM.  We need folks 7 days a week, 365 days a year....If you have time, once a week, once a month, or even to be on call, than we are looking for you!
","
GoalWe help meet the nutritional needs of those who are homeless and those who are living in extreme poverty within the city of Brampton.
","
BenefitsIf you want to feel like you are part of a community that is making a noticeable difference in the place where YOU live.  If your interested in life stories and seeing hope when you serve a hot meal to someone in need, this is the place to volunteer.......All this plus you get to learn how to prepare a meals for about 120 people!
","
Position QualificationsAll you need is a police check, pair of close toe shoes, a heart to help, and a good attitude!  Min Age: 15    Police Check: Yes
","
Time Commitment Duration:Any Duration Monday Morning, Thursday Morning, Saturday Morning, Sunday Morning7AM to 10AM
","
TrainingOur next orientation is November 8 at 7PM
","
Area(s) of Interest: Food Services, Shelters
"
Program Assistant Volunteer (Arabic Speaking),  Mississauga,  Seniors Life Enhancement Centres,https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=1182&MenuItemID=1,"
DescriptionTasks for Program Assistant Volunteers may include greeting clients in the mornings and assisting with serving snacks, assisting staff members in the delivery of programs throughout the day, assisting Activity Coordinators with program preparations, and providing one to one programming with clients as per staff direction. This position will also require the assisting clients by translating directions from English to Arabic and may require translating client concerns from Arabic to English.
","
GoalThe goal of a Program Assistant volunteer is to assist staff in the delivery of programs throughout the day.
","
BenefitsVolunteers in this position will benefit by assisting clients who speak Arabic be able to fully participate in the program.
","
Position QualificationsMust be able to speak and understand ArabicMin Age: 18    Police Check: Yes
","
Time Commitment Duration:Long Term (More than 6 months) Monday Morning, Monday Afternoon, Monday Evening, Tuesday Morning, Tuesday Afternoon, Tuesday Evening, Wednesday Morning, Wednesday Afternoon, Wednesday Evening, Thursday Morning, Thursday Afternoon, Thursday Evening, Friday Morning, Friday Afternoon, Friday Evening, Saturday AfternoonWe are open Monday to Friday 7:30AM-6:30PM, Tuesday and Thursday evenings until 9:00PM and Saturday 10:00AM-4:00PM.
","
TrainingVolunteers will be given a full orientation before they start on the floor and in house training thereafter.
","
Area(s) of Interest: Senior Support
"
Garden/Landscape Volunteer,  Caledon,  Bethell Hospice,https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=1742&MenuItemID=1,"
DescriptionAdopt a garden bed to maintain throughout the entire season! Come as you are able to help with planting, maintenance and other landscape items.Landscape Design Goals- Native species, planted and encouraged to naturalize- Biodiversity to attract and support and abundance of birds, bees, butterflies and other pollinators- Design and species selection that is low maintenance- Beauty and support of wildlife through the four seasons- Wheelchair accessibilitySustainable Environmental and Maintenance Goals- Hardy plant material able to withstand drought and occasional flooding- Use of chemicals, fertilizers and watering systems not required- Minimum of noise and pollution from power equipment
","
GoalHospice volunteers are highly respected and valued members of the Bethell Hospice trans-disciplinary team who generously give of themselves and their time. They each bring unique gifts to those they serve. Garden/Landscape Volunteers contribute to the maintenance of a natural design that fits with the local natural heritage and provides a peaceful, pleasing and restorative environment for residents, visitors, staff and volunteers.
","
BenefitsVolunteer in a team environmentApply your enthusiasm and skills towards maintaining a beautiful landscape for hospice residents and their familiesLearn more about Hospice Palliative Care Services in your communityLearn more about caring for gardens designed with native species to attract birds, bees, butterflies and other pollinatorsAll tools supplied by Bethell Hospice
","
Position Qualifications- Minimum 18 years of age - Sensitive, compassionate, flexible and conscientious- Open-minded and non-judgmental- Respect for diversity, equity and inclusivity- Responsible, punctual and reliable - Maintain confidentiality at all times- Work well in a team or independently, open to guidance as an opportunity for self-growth- Strong time management skills- Comfortable asking questions and seeking information- Meet physical requirements of the position - Love for gardening and landscaping- Successfully complete screening requirements and Hospice Lite trainingMin Age: 18    Police Check: Yes
","
Time Commitment Duration:Medium Term (4 - 6 months) AnytimeSchedule is worked out with Volunteer Coordinator and Landscape Committee
","
TrainingHospice Lite Training provided by Bethell Hospice. Please contact [email protected] for more information on Fall 2016 dates
","
Area(s) of Interest: Environment, Seasonal/Special Event, Healthcare, Senior Support
"
In-Home Visiting Volunteer,  M/B/C/V,  Bethell Hospice,https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=1740&MenuItemID=1,"
Description- Uphold the client's right to dignity and self-determination and to provide client-directed support - Support the social and emotional wellbeing the clients with life-limiting illnesses and to the family members/caregivers.  - Establish supportive relationships with clients, their family and visitors. - Endeavor to meet the client and family's needs according to the goals of the care plan and guidelines in the hospice policies and procedures.  - Observe and report changes in client's condition to Community Care Coordinator or designate- Communicate with the Community Care Coordinator after first visit and communicate any changes or concerns about the client/caregivers- Visit with the client and family, sharing mutual interests, reading, letter writing, arts and crafts, music, errands, light meal preparation and feeding, and light household tasks- Accompany clients for walks where suitable- Provide comfort measures such as assistance with feeding, bed changing, personal hygiene, mouth care and light hand massage- Continue to pursue available training opportunities to ensure learning is kept up to date and relevant throughout volunteer experience- Adhere to Bethell Hospice's policies and procedures- Maintain record of client care visits/telephone support and report monthly statistics by the 5th of each month to Community Care Coordinator- Act as an ambassador for Bethell Hospice
","
GoalHospice volunteers are highly respected and valued members of the Bethell House trans-disciplinary team who generously give of themselves and their time. They each bring unique gifts to those they serve. In-Home Visiting Volunteers actively contribute to the well-being of clients and their families, providing companionship and emotional support.
","
BenefitsCare for those in your communityApply compassionate, listening and communication skillsWork as part of a team of In-Home Visiting volunteersLearn more about Hospice Palliative Care Services in your community
","
Position Qualifications- Minimum 18 years of age - Sensitive, compassionate, flexible and conscientious- Open-minded and non-judgmental- Respect for diversity, equity and inclusivity- General proficiency in English for reading and writing- Responsible, punctual and reliable - Maintain confidentiality at all times- Courteous and effective communication; Active listening skills- Work within role boundaries and position scope- Work well in a team or independently, open to guidance as an opportunity for self-growth- Manage stressful situations, remain calm in an emergency- Strong time management skills- Comfortable asking questions and seeking information- Meet physical requirements of the position - Comfort and ability to discuss issues regarding, illness, dying, death and bereavement- Active listening and communication skills- Ability to discern boundaries and limitations to maximize client empowerment- Successfully complete screening requirements and Hospice Palliative Care Ontario trainingMin Age: 18    Police Check: Yes
","
Time Commitment Duration:Long Term (More than 6 months) AnytimeTime of visits are coordinated with Client Care Coordinator and Client/Family
","
TrainingHospice Palliative Care Ontario training provided by Bethell Hopsice. Please contact [email protected] for more information on Fall 2016 dates.
","
Area(s) of Interest: Healthcare, Life Skills & Accessibility, Senior Support
"
Resident Support Volunteer,  Caledon,  Bethell Hospice,https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=1739&MenuItemID=1,"
Description- Communicate with care team for direction on priority needs and significant changes to resident conditions, new admission and/or deaths- Endeavor to meet resident and family needs according to the goals of the care plan and guidelines in Bethell Hospice's policies and procedures - Report care concerns, and in the case of any unusual incidents, notify a care team member immediately - Provide direct service to residents and family:- Support emotional well-being- ""Be present""- Project warm, caring, empathetic attitude- Listen attentively- Offer respite for caregiver - Assist care team, when required, with positioning, turning, transfers of residents and gentle hand and foot massage with non-medical creams - Help residents with correspondence, reading, listening to music, sharing crafts, memory book, card playing, and special interests- Assist with delivering meals to residents or clearing dishes from room (in the absence of a kitchen volunteer, or when required)- Welcome new residents and families to Bethell House (shower, dining room, kitchenette, food storage, how to use TV, call system, phones, etc.)- Under the direction of the care team, assist with feeding residents- Assist with laundry as needed- Update the care team of any pertinent changes or highlights of time spent with residents or family members- Chart pertinent information in resident chart - Attend volunteer and team support meetings as required- Use effective coping skills and self-care techniques to deal with multiple deaths- Debrief the Manager of Community and Volunteer Services when having difficulties in dealing with the death of a resident
","
GoalHospice volunteers are highly respected and valued members of the Bethell Hospice trans-disciplinary team who generously give of themselves and their time. They each bring unique gifts to those they serve. Resident Support Volunteers actively contribute to the well-being of residents and their families, providing companionship and emotional support.
","
BenefitsWork in a team atmosphere, develop friendshipsCare for those in your communityApply compassionate, listening and communication skillsLearn more about hospice palliative care in your community
","
Position Qualifications- Minimum 18 years of age - Sensitive, compassionate, flexible and conscientious- Open-minded and non-judgmental- Respect for diversity, equity and inclusivity- General proficiency in English for reading and writing- Responsible, punctual and reliable - Maintain confidentiality at all times- Courteous and effective communication;  Active listening skills- Work within role boundaries and position scope- Work well in a team or independently, open to guidance as an opportunity for self-growth- Manage stressful situations, remain calm in an emergency- Strong time management skills- Comfortable asking questions and seeking information- Meet physical requirements of the position - Comfort and ability to discuss issues regarding, illness, dying, death and bereavement- Active listening and communication skills- Ability to discern boundaries and limitations to maximize client empowerment- Successfully complete screening requirements and Hospice Palliative Care Ontario trainingMin Age: 18    Police Check: Yes
","
Time Commitment Duration:Long Term (More than 6 months) Monday Morning, Monday Afternoon, Monday Evening, Tuesday Morning, Thursday Morning, Thursday Afternoon, Saturday Morning, Saturday Afternoon, Saturday Evening, Sunday Evening, AnytimeThree shifts per day: 9:00am-1:00pm; 1:00pm-5:00pm; 5:00pm-8:30pm
","
TrainingHospice Palliative Care Ontario training provided by Bethell Hospice. Look for upcoming dates on www.bethellhospice.org
","
Area(s) of Interest: Healthcare, Life Skills & Accessibility, Senior Support
"
Reception/ Hospitality Volunteer,  M/B/C/V,  Bethell Hospice,https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=1365&MenuItemID=1,"
Description- Provide a welcoming greeting to anyone entering Bethell House - Ensure each person who enters the building is treated with dignity and respect - Provide professional and courteous telephone coverage - Route and transfer incoming calls to appropriate areas or personnel- Check voicemail routinely for messages and forward as appropriate- Ensure all persons entering or exiting have signed in and signed out - Review hand hygiene protocol as visitors enter the building- Escort or direct residents, family and visitors to appropriate areas- Provide general directions and information regarding hospice- Refer questions about resident status to Clinical Staff to maintain confidentiality- Accept floral deliveries, directs other deliveries to the appropriate location- Sign for incoming couriers/deliveries (medical deliveries referred to nurses)- Maintain up-to-date census report regarding discharges and admits- Assist with tidying up common areas near the reception desk- Record registration and RSVPs to hospice events and activities- Occasionally provide tours to guests upon request of employees - Occasionally receive and process donations in person or over phone and advise Bethell Hospice Foundation- Notify Clinical Staff upon the arrival of new admission- Call volunteers to cover open shifts- Attend team meetings as required- Perform other duties as assigned
","
GoalVolunteers will be located at the reception desk and are the first contact for anyone arriving at Bethell Hospice. The Reception/Hospitality Volunteer provides support to individuals and families as they visit Bethell House.
","
Benefits- Join in caring for those in your community. Be part of a team environment. Apply your unique skills and expertise. Learn more about hospice palliative care services in your community.
","
Position Qualifications- Minimum 18 years of age - Sensitive and compassionate, flexible and conscientious- Open-minded and non-judgmental- Respect for diversity, equity and inclusivity- General proficiency in English for reading and writing, with basic math- Responsible, punctual and reliable - Maintain confidentiality at all times- Courteous and effective communication; active listening skills - Work within role boundaries and position scope- Work well in a team or independently, open to guidance as an opportunity for self-growth- Manage stressful situations, remain calm in an emergency- Strong time management skills- Comfortable asking questions and seeking information- Meet physical requirements of the position - Review of reception guidelines- Successfully completed screening requirements and minimum of Hospice Lite trainingMin Age: 18    Police Check: Yes
","
Time Commitment Duration:Long Term (More than 6 months) Monday Morning, Monday Evening, Thursday Evening, Friday Evening, AnytimeLong Term (more than 6 months)
","
TrainingHospice Lite Training in Fall 2016. Please contact [email protected] for more information
","
Area(s) of Interest: Office Administration, Healthcare
"
Food Bank Volunteer (Malton),  Mississauga,  Seva Food Bank,https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=1022&MenuItemID=1,"
Description• Welcome clients• Assist clients from the community receive their grocery needs• Organize donations for our clients-Direct contact with clients
","
GoalAssist Clients with their Personal Shopping from our Food Bank Store
","
BenefitsHelping community members Customer's Service experience
","
Position Qualifications-Will be trained on Customer ServiceMin Age: 18    Police Check: No
","
Time Commitment Duration:Long Term (More than 6 months) Monday Evening, Tuesday Morning, Thursday Evening, Friday AfternoonTuesday 12-4, Thursday 2-6, Friday 11-2 (One or more shifts per week will be greatly appreciated)
","
TrainingOrientation ; Training-on-the-job ; Training on-going
","
Area(s) of Interest: Crisis, Distress & Emergency Response, Food Services, Settlement & Integration, Newcomer Support
"
