Position,Location,Description,Organization,Deadline,Websites
Friendly Visitor, 99 New Orchard Avenue,Volunteers who become Friendly Visitors will be introduced to Residents who have little family or community contact. Volunteers benefit by knowing you are making a difference in someone's life by developing a relationship over time. Residents benefit enormously from the sense of belonging they feel from being a part of the relationship., Extendicare New Orchard Lodge," Aug 18, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43214
Musicians Wanted," 99 New Orchard Ave, Ottawa ON",New Orchard Lodge is currently seeking volunteers who will share the gift of music with our residents on a one to one basis or in a group setting. This opportunity has flexible hours and times., Extendicare New Orchard Lodge," Aug 18, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43213
Musicians Wanted," 99 New Orchard Ave, Ottawa ON",New Orchard Lodge is currently seeking volunteers who will share the gift of music with our residents on a one to one basis or in a group setting. This opportunity has flexible hours and times., Extendicare New Orchard Lodge," Aug 18, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43212
Secretary/Treasurer," 16 Kilbarron Road, Nepean, ON, K2J 5B2","The Nepean Housing Corporation is seeking one new member to serve on our Board. The Nepean Housing Corporation is a community-based non-profit housing corporation which owns and manages both rent-geared-to-income and market rent housing for individuals, families with children and senior citizens in its 559 units located in the South Nepean/Barrhaven, Bells Corners and Centrepointe areas.


The Board of Directors provides strategic leadership to the organization by committing to excellence in governance and supporting organizational health for optimum achievement of its goals and mandate. The nine-member volunteer board is comprised of a team of leaders with combined experiences in governance, accounting, HR, legal, business management, real estate and land-use planning, building systems technology, marketing, and housing and homelessness advocacy. All members have a personal passion for volunteering and for making a difference in the lives of individuals, families with children and senior citizens that reside in our communities. 


We currently have a priority for an individual with a background in accounting and finances. Preference would be given to an individual with a professional designation in Chartered Professional Accountants of Ontario (CPA Ontario) and/or Society of Certified Management Accountants of Canada.


Directors meet every two months for two to three hours and will have additional committee meetings as required.  The meetings are conducted in-person at our main office located at 16 Kilbarron Road, Nepean. As the Secretary-Treasurer, you will participate on one or more of the following standing committees: Corporate Audit, Finance & Tender Governance and Human Resources. Board terms are a minimum of three years with an option to renew three times for a maximum of 12 years.", Nepean Housing Corporation," Jul 17, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43141
Board of Governor Members (Directors) ," 20 Cleary Avenue, Ottawa","Unitarian House is a vibrant community for seniors, offering security, freedom, and opportunities for personal fulfillment and comfort in a beautiful setting overlooking the Ottawa River Parkway in the nation’s capital.


Our mission is to provide a not-for-profit residence for seniors where, in a secure and caring environment, residents will have maximum independence, opportunities for personal fulfillment, companionship and participation in a dynamic, collaborative community of residents, staff and management.


Known for its friendly atmosphere, the House creates opportunities for residents to share interests, make new friends and participate in the wealth of activities taking place throughout the year.


The House is a unique mix of Retirement & Independent living in a welcoming and supportive community of residents, staff and volunteers.


New Governors will be selected based on skill set and ability to work cooperatively, with additional attention paid to commitment to UHO values.  Experience in the financial sector would also be an asset. The Board and Standing Committee meetings are held during the daytime on regular workdays.  On average, a monthly minimum of 10 to 20 hours of service is required. 
", Unitarian House of Ottawa," Jul 10, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43137
DRIVER ," 427 MacArthur Avenue

Suite #B2",To help in picking up congregational members and drop them , Fellowship of Yahweh Tabernacle Inc.," Aug 30, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43129
DRIVER ," 427 MacArthur Avenue

Suite #B2",To help in picking up congregational members and drop them , Fellowship of Yahweh Tabernacle Inc.," Aug 30, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43128
Accountant ," 1814 Aspenview Way

1814 Aspenview Way","Candidate should be a QUALIFIED ACCOUNTANT  with an understanding of Accounting Standards for Private Enterprises (A Canadian Audit Standards and Canadian income taxation.  Candidate will be responsible for various duties which may include the completion of audit, review or compilation files and related tax preparation.  In addition, candidate may be given in-house assignments such as accounting research projects or office related administration.", Fellowship of Yahweh Tabernacle Inc.," Aug 30, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43127
Social Media Officer ," 1814 Aspenview Way

1814 Aspenview Way","Build and execute social media strategy through competitive research, platform determination, benchmarking, messaging and audience identification

Generate, edit, publish and share daily content (original text, images, video or HTML) that builds meaningful connections and encourages community members to take action

Set up and optimize company pages within each platform to increase the visibility of company’s social content", Fellowship of Yahweh Tabernacle Inc.," Aug 30, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43126
Community Development Program officer , 427 McArthur,"A Program Officer is an integral part of a foundation or nonprofit organization. It is up to Program Officers to oversee program development, seek grants and proposals, manage projects and oversee budgets. They generally ensure that an organization’s activities and programs align with the goals and mission statements of that foundation or nonprofit.", Fellowship of Yahweh Tabernacle Inc.," Aug 30, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43125
Board Directors, 427 McArthur Avenue,"The role of the board is to: 

 • Establish the mission, goals and policies of the organization, what we should accomplish and how we should conduct ourselves in the process. • Develop a long-range plan for the organization; define our strategy and a time frame for achievement of our goals. • Ensure the long term financial stability and strength of the organization, develop and maintain sources of income to provide for the continuing operation of the organization. • Ensure the long term organizational stability and strength of the organization, bring into the organization individuals with the necessary abilities to lead and manage the organization in the future. • Maintain the integrity, independence and ideals of the organization; do not allow individuals or organizations to compromise these principles. • Hire and develop an executive director to manage the operations of the organization. • Exercise management oversight of the executive director and the operations, approve annual budgets, review operating and financial results, audit for compliance with internal policies and external requirements, review performance against goals. 

", Fellowship of Yahweh Tabernacle Inc.," Aug 30, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43124
Board of Directors," 251 Bank Street, Suite 402 ","Bruce House, a community based organization that provides housing, compassionate care and support for people living with HIV/AIDS is currently recruiting volunteers to sit on its Board of Directors.  Some the skills we are seeking include strategic planning experience, organizational development,  financial expertise, communication skills, housing knowledge and fundraising experience.  Board members are expected to contribute about six hours per month.  The Board meets on the third Tuesday of the every month from 6:00 p.m. to 8:00 p.m.  We are currently holding our board meetings via teleconference calls. ", Bruce House," Sep 1, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=42952
Un enfant vous attend!," 235 Beausoleil Dr, Ottawa ON K1N 8X8; 1345, av. Nottinghill Ottawa ON K1V 6T3; 2147, avenue Loyola Ottawa ON K1J 7W3; 350, rue Den Haag Ottawa ON K1K 0W9; 860, chemin Quinlan, Ottawa (Ontario) K1G 1R8 ; 235, av. McArthur, Vanier ON K1L 1B1; 2093 Bel-Air Dr Ottawa ON K2C 2P6.","Le Centre de services à la famille cherche des bénévoles qui aimeraient accompagner un enfant en lecture dans le programme Grands-parents à l'écoute (adultes de tout âge). Lors d'une rencontre hebdomadaire d'une heure, vous aiderez un enfant entre 7 et 12 ans à améliorer ses compétences en lecture ainsi qu'à augmenter sa confiance. Le programme est offert le jour jusqu'à la mi-mai dans six écoles de la région. Joignez-vous à nous, un enfant vous attend. Pour plus de renseignements, veuillez communiquer avec René Laprise au 613-565-5166."," Centre de services à la famille, Région de la capitale nationale"," Jul 31, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=42742
Online English Language Tutoring to Syrian refugees (no experience necessary), online,"Volunteer tutors are needed to provide online one-to-one English language tutoring to Syrian refugees located in Ottawa.

- No prior teaching experience is necessary,

- We provide the materials

- Training and ongoing support from our qualified TESL certified Education Counsellors are provided. ", English Language Tutoring for the Ottawa Community (ELTOC)," Jul 31, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=42387
Board Member, Ottawa,"Full details here: https://fools.ca/join-our-board/


Are you passionate about arts and culture? Interested in making theatre accessible to people from all walks of life? Do you consider yourself a Fool? Then we have the role for you!


There are currently three positions available on our board of directors.


We’re seeking individuals with backgrounds in the following professional fields: Legal, Finance, Marketing and Communications, and Donor Development.


Time commitment:


Nine board meetings per calendar year from September to June


One Annual General Meeting per calendar year in April


The option of joining various committees of interest to individual members, such as: legal, marketing and communications, finance and audit, and donor development


The opportunity to volunteer at various fundraising events throughout the year", A Company of Fools," Jul 31, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=42351
Online French Homework and Tutoring Club through September 1, online via Zoom ,"Canadian Parents for French is looking for volunteers to act as online French tutors for children enrolled in our pilot program. Tutors will help children by speaking in French and working to improve the child's French in conversation, reading, and writing. Volunteers must be comfortable working with young kids and in both French and English


Application to volunteer : https://form.jotform.com/201173726906253


Must be okay with using zoom via computer with headphone and webcam. 

Will tutor 2-3 hours per week with kids ages 6-14. ", Canadian Parents for French," Jul 31, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=42250
Receptionist ," 265 Montreal Road, Ottawa Ontario K1L 6C4","The role of the administrative assistant is to ensure efficient and timely operations of the office so as to support and enhance the work of the organization. The administrative assistant will work under the supervision of the executive director or the designated supervisors.


Key Qualifications

• Knowledge of standard office practices and procedures.

• Excellent keyboarding, proof reading and data entry skills with emphasis on accuracy.

• Excellent interpersonal skills with the ability to communicate effectively, both orally and in writing, and ability to develop solid professional internal and external work relationships with various levels of staff, other organizations and the public. Ability to write in a clear, concise and legible manner.

• Good organizational skills with the ability to multitask and work in a high pressure, high volume team oriented environment with minimal supervision, working independently and cooperatively with other members of the staff.

• Ability to identify and analyze problems with inefficiencies and develop effective solutions and solve problems.

• Proven ability to handle confidential and sensitive information with discretion and tact - you will be working with vulnerable populations

- Must be comfortable dealing with harm reduction kits and people dealing with mental health issues



Hours of Work


• 10:30 a.m. – 4 p.m. Monday to Friday and/or weekends 12-5.

The ideal person would be able to commit for 3-6 months, 1-2 shifts a week, and is able to commute to the Vanier area (OC Transpo Route #12 and #19 nearby)", Onyx Community Services," Jul 27, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=42134
Distress Centre Volunteer, Confidential.  Located within the Ottawa area. Accessible by OC Transpo or personal vehicle with parking.,"The Distress Centre of Ottawa & Region provides a free and confidential telephone service offering suicide prevention, crisis intervention, psychological stabilization, emotional support, information and referrals to individuals of all ages.  We help people in varying degrees of distress or crisis who are experiencing a wide range of problems including suicidal thoughts, abuse or violence, mental or physical illness, bereavement, addictions, sexuality and interpersonal problems, youth-related issues, unemployment and more.  Our volunteer Crisis Line Responders are trained in active listening techniques, communication skills, crisis intervention and suicide prevention techniques.  They help our clients assess their own situations, to establish goals and priorities, and they can link the callers to appropriate resources in the community if needed. 


If interested, please visit www.dcottawa.on.ca to fill out an application!", Distress Centre of Ottawa and Region," Jul 31, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=42073
General Operations Director, 265 Montreal Rd Vanier,"We are looking for a general operation manager. The candidate must be willing to put in 2-3 days a week of work. Experience is an asset.

Must have 2 years of managerial experience. Experience with volunteering is an asset.


During this outbreak period interviews and work may be done from home, however, as an essential service provider, the organization has taken steps to ensure that safety precautions are taken within the office should one need to come in. Dedication to this position is important. ", Onyx Community Services," Jul 27, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41819
Marketing Director, 265 Montreal Rd. Vanier,"We are Looking for a volunteer with vast experience that will be in charge of:

-Marketing campaigns and branding techniques for our organization

-Conducting research and analyze trends in the product or service offered by the organization to develop marketing strategies

-Promoting our services via social media i.e. Facebook, Twitter, Instagram and to the community 

-Tracking and analyzing the performance of advertising campaigns


Any other duties assigned


The candidate must have some relative experience and education related to the position. Bilingualism is an asset.


During this outbreak period interviews and work may be done from home, however, as an essential service provider, the organization has taken steps to ensure that safety precautions are taken within the office should one need to come in. Dedication to this position is important especially during this time

", Onyx Community Services," Jul 27, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41814
Public Relations Manager, 265 Montreal Rd. Vanier,"We are looking for a Public Relations Manager to promote our services by attending functions, and connecting in person with the community.

-Candidate must have some relative experience and education related to the position 

-Be willing to volunteer long term(at least 6 months)

-Bilingualism is an asset

-Dedication to this position is important. 

-The candidate must be willing to put in 2-3 days a week of work.

-Experience is an asset.

-During this outbreak period, interviews and work may be done from home. 

-Once things get back to normal, work may still be done from home with a weekly in-office check-in.


", Onyx Community Services," Jul 27, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41813
Registered Social Worker for Counselling (MSW or BSW) ," 265 Montreal road Ottawa, ON","We are looking for a Life Coach and or MSW for one on one counselling, flexible hours. Areas include, addictions, Stress Management, Anger Management, general counselling, life skills.  Must have some relative experience and education related to the position. Bilingualism is an asset.


During this outbreak period interviews and work may be done from home,however, as an essential service provider, the organization has taken steps to ensure that safety precautions are taken within the office should one need to come in. Dedication to this position is important.", Onyx Community Services," Jul 27, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41809
Virtual Respite Volunteer," 1750 Russell Road

Suite 1742","The Dementia Society of Ottawa and Renfrew County (DSORC) is pleased to be developing virtual solutions in an effort to continue providing support to caregivers and persons living with dementia while we are not able to do so in person.


We are currently seeking applications from tech-savvy volunteers interested in meeting remotely with caregivers. Volunteers in this role will provide caregiver respite through virtual “visits” to persons living with dementia.  Visits will be tailored to each individual’s interests/hobbies, and could take the form of simple chatting, to sessions with curated information based on personal interest (for example, if a participant really enjoys fishing, photos and stories, the friendly visitor could prepare a plan to screen share photos and read stories and elicit conversation).  Other sessions could be around music reminiscence, singing, etc. 


Virtual Visits may take place on a variety of different platforms depending on personal preference and technical capability of the client, and may include telephone, Zoom, Facetime, or another mutually agreed upon technology. If there is interest for a group session, there is the possibility to discuss offering additional volunteer support in leading a group session.


Primary Role and Responsibilities:


•	Maintain regular communication via e-mail and telephone

o	Work with DSORC staff to arrange a mutually agreed upon Virtual Visit client and discuss potential activities to suit the needs of the client

o	Communicate with caregiver as needed to arrange the details surrounding individual visits (date and time, materials needed, etc.)

o	Maintain communication with Supervisor to provide updates on clients, forward questions, and offer feedback/discuss plans for future visits 

•	Prepare and host Virtual Visit materials as needed

o	Ensure you are comfortable using the technology best suited for your visit

o	Coordinate and prepare any particular items needed for your visit (photos, music, videos, a list of the client’s interest, etc.)

	Caregivers will be able to schedule Virtual Respite for periods of a minimum period 30 minutes to a maximum of 2hrs.

o	Meet and engage with client on the preferred platform (phone, Zoom, etc.)

o	Respond to inquiries from caregivers and persons living with dementia

o	Provide troubleshooting support to those experiencing technical difficulty

o	Coordinate questions for providing to your Supervisor following the visits

o	Engage with participants and maintain enthusiasm, compassion, and patience


Qualifications and Skills:


•	Tech-savvy, with the ability to independently troubleshoot common/minor technical issues such as audio/visual connectivity disruptions

o	Access to a computer with reliable access to both internet and email

o	Knowledge of/experience with Zoom or other online platforms is an asset

o	Patience and compassion when working with others who are not tech-savvy

•	Professionalism and a positive disposition with excellent interpersonal skills

•	Compassion, understanding and awareness of dementia

•	Experience working with persons with dementia and their care partners

o	A valid (within last 6 months) Vulnerable Sector Check is required for this role

•	Reliability – able to honour scheduled commitments

•	Discretion -  must maintain confidentiality of all participants

•	Bilingualism an asset

•	Basic knowledge of DSORC programs and services (training provided)


Screening:


Successful applicants will submit a volunteer application form. An interview and reference checks will be conducted as part of the application process with the Volunteer Coordinator. 


Successful applicants will be provided with Orientation Training in addition to role-specific training from their supervisor.


How to Apply


Interested applicants should submit their CV and a cover letter describing their interest to volunteer@dsorc.org. 
", Dementia Society of Ottawa and Renfrew County," Jul 17, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41646
Lawyer," 265 Montreal Road, Vanier","Looking for a part time candidate who is well versed in criminal law, civil law, mediation, children aid society. 


Must have some relative experience and education related to the position. Bilingualism is an asset.


 During this outbreak period interviews and work may be done from home,however, as an essential service provider, the organization has taken steps to ensure that safety precautions are taken within the office should one need to come in. Dedication to this position is important especially during this time", Onyx Community Services," Jul 27, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41568
Legal Researcher," 265 Montreal Road, Vanier","We are looking for a Legal Researcher who is well versed in criminal law, civil law, mediation and children aid society. Candidate must have some relative experience and education related to the position. Bilingualism is an asset


During this outbreak period interviews and work may be done from home,however, as an essential service provider, the organization has taken steps to ensure that safety precautions are taken within the office should one need to come in. Dedication to this position is important especially during this time
", Onyx Community Services," Jul 27, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41567
Law Clerk," 265 Montreal Road, Ottawa Ontario K1L 6C4","Job purpose


Typically, the broad range of duties assigned to a law clerk includes conducting legal research, preparing bench memos, drafting orders and opinions, proofreading the judge's orders and opinions, verifying citations, communicating with counsel regarding case management and procedural requirements, and assisting  during courtroom proceedings. 


Candidate should be well versed in criminal law, civil law, mediation, children aid society. The candidate must have some relative experience and education related to the position. Bilingualism is an asset


Candidates may work part time. During this outbreak period interviews and work may be done from home,however, as an essential service provider, the organization has taken steps to ensure that safety precautions are taken within the office should one need to come in. Dedication to this position is important.", Onyx Community Services," Jul 27, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41566
Registered Social Worker for Counselling (MSW or BSW) ," 265 Montreal road Ottawa, ON","We are looking for a Life Coach and or MSW, B.Sw, or a RSW, for one on one counselling and social work., flexible hours. Areas include, addictions, Stress Management, Anger Management, general counselling, life skills.  Must have some relative experience and education related to the position. Bilingualism is an asset.


During this outbreak period interviews and work may be done from home,however, as an essential service provider, the organization has taken steps to ensure that safety precautions are taken within the office should one need to come in. Dedication to this position is important.", Onyx Community Services," Jul 27, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41565
Paralegal/ Legal assistant," 265 Montreal Road, Ottawa Ontario K1L 6C4","Job role 

Assist in preparing for trials, hearings, and closings. 

Must be licensed paralegal


During this outbreak period interviews and work may be done from home ,however, as an essential service provider, the organization has taken steps to ensure that safety precautions are taken within the office should one need to come in. Dedication to this position is important.Experience is an asset. Experience with volunteering is also an asset.", Onyx Community Services," Jul 27, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41562
Licensed Security Guard ," 265 Montreal Road, Ottawa Ontario K1L 6C4",Security guard needed to monitor the building. , Onyx Community Services," Jul 27, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41556
School Tutors Needed - K-12, various schools,"***Please note that until schools are back in session, you will not be placed to volunteer in a classroom setting. Orientation training will be done on-line until further notice.  You can contact Heather Kotelniski for the information required to proceed (hkotelniski@onfe-rope.ca). We continue to follow the guidelines of the OCDSB, Ottawa Public Health, and Canada Public Health and we thank you for your patience.***


Please note that all volunteer positions are September to June each year. We do not have summer volunteer positions available. 


Ottawa Volunteers in Education (OVIE) arranges tutoring placements in both elementary and secondary schools to enrich and improve student learning. 


ALL VOLUNTEERS MUST BE 18 YEARS OF AGE AND OLDER.


The volunteers will be asked to perform different tasks depending on their interest and skills and according to the needs of the schools. A RECENT POLICE VULNERABLE SECTOR CHECK (PVSC) IS REQUIRED FOR ALL VOLUNTEER POSITIONS. All volunteers assist under the supervision of a teacher. If you can help, please register online on our website and quote this volunteer opportunity. Thank you for your gift of time.", Ottawa Network for Education - Ottawa Volunteers in Education," Jul 24, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41546
School Tutors Needed - K-12, various schools,"***Please note that until schools are back in session, you will not be placed to volunteer in a classroom setting. Orientation training will be done on-line until further notice.  You can contact Heather Kotelniski for the information required to proceed (hkotelniski@onfe-rope.ca). We continue to follow the guidelines of the OCDSB, Ottawa Public Health, and Canada Public Health and we thank you for your patience.***


Please note that all volunteer positions are September to June each year. We do not have summer volunteer positions available. 


Ottawa Volunteers in Education (OVIE) arranges tutoring placements in both elementary and secondary schools to enrich and improve student learning. 


ALL VOLUNTEERS MUST BE 18 YEARS OF AGE AND OLDER.


The volunteers will be asked to perform different tasks depending on their interest and skills and according to the needs of the schools. A RECENT POLICE VULNERABLE SECTOR CHECK (PVSC) IS REQUIRED FOR ALL VOLUNTEER POSITIONS. All volunteers assist under the supervision of a teacher. If you can help, please register online on our website and quote this volunteer opportunity. Thank you for your gift of time.", Ottawa Network for Education - Ottawa Volunteers in Education," Jul 24, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41545
Special Education - Autism Unit, various schools,"***Please note that until schools are back in session, you will not be placed to volunteer in a classroom setting. Orientation training will be done on-line until further notice.  You can contact Heather Kotelniski for the information required to proceed (hkotelniski@onfe-rope.ca). We continue to follow the guidelines of the OCDSB, Ottawa Public Health, and Canada Public Health and we thank you for your patience.***


Please note that all volunteer positions are September to June each year. We do not have summer volunteer positions available. 


The Ottawa Carleton District School Board has a few elementary schools looking for volunteers to assist in their Autism Unit.


ALL VOLUNTEERS MUST BE 18 YEARS OF AGE AND OLDER.


 A RECENT POLICE VULNERABLE SECTOR CHECK (PVSC) IS REQUIRED FOR ALL VOLUNTEER POSITIONS.(Instructions on how to get a PVSC will be emailed to you after you apply on-line). All volunteers assist under the supervision of a teacher. If you are interested, please register on-line at www.onfe-rope.ca/ovie/application and quote this volunteer opportunity. Once the screening process is complete and approved, you will be contacted by the school volunteer coordinator to set-up a time for an interview to discuss the details/scheduling. Thank you for your consideration.", Ottawa Network for Education - Ottawa Volunteers in Education," Jul 24, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41544
English as a Second Language (ESL) K-12 tutors needed, various schools,"***Please note that until schools are back in session, you will not be placed to volunteer in a classroom setting. Orientation training will be done on-line until further notice.  You can contact Heather Kotelniski for the information required to proceed (hkotelniski@onfe-rope.ca). We continue to follow the guidelines of the OCDSB, Ottawa Public Health, and Canada Public Health and we thank you for your patience.***


Please note that all volunteer positions are September to June each year. We do not have summer volunteer positions available. 


English As a Second Language (ESL) volunteers are needed to help Pre-K to Grade 12 students to assist in acquiring English proficiency. 


ALL VOLUNTEERS MUST BE 18 YEARS OF AGE AND OLDER.


The volunteer will collaborate with the educator to enhance the daily ESL opportunities for students. The students are mainly new Canadians. You will provide assistance to students who need assistance understanding English in general. Requires a current vulnerable sector police clearance (PVSC). (Instructions on how to get a PVSC will be emailed to you after you apply on-line). All volunteers assist under the supervision of a teacher. If you are interested, please register on-line at www.onfe-rope.ca/ovie/application  and quote this volunteer opportunity. Once the screening process is complete and approved, you will be contacted by the school volunteer coordinator to set-up a time for an interview to discuss the details/scheduling. Thank you for your consideration.", Ottawa Network for Education - Ottawa Volunteers in Education," Jul 24, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41543
Bell High School - Community Living Class, Bell High School Nepean,"***Please note that until schools are back in session, you will not be placed to volunteer in a classroom setting. Orientation training will be done on-line until further notice.  You can contact Heather Kotelniski for the information required to proceed (hkotelniski@onfe-rope.ca). We continue to follow the guidelines of the OCDSB, Ottawa Public Health, and Canada Public Health and we thank you for your patience.***


Please note that all volunteer positions are September to June each year. We do not have summer volunteer positions available. 

The Community Living Class at Bell High School serves students with special needs. 


ALL VOLUNTEERS MUST BE 18 YEARS OF AGE AND OLDER.


Opportunities for reading buddies, games, art and crafts, caller for time bingo, cooking, field trips computer skills. There are a maximum of 10 students per classroom. Bell would like to have volunteers join the program and share their interests and talents. They are always open to new ideas and they would be delighted to welcome you! A RECENT POLICE VULNERABLE SECTOR CHECK (PVSC) IS REQUIRED FOR ALL VOLUNTEER POSITIONS. (Instructions on how to get a PVSC will be emailed to you after you apply on-line). All volunteers assist under the supervision of a teacher. If you can help, please register online on our website and quote this volunteer opportunity. Once the screening process is complete and approved, you will be contacted by the school volunteer coordinator to set-up a time for an interview to discuss the details/ scheduling. Thank you for your gift of time.", Ottawa Network for Education - Ottawa Volunteers in Education," Jul 24, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41542
Adult High or Central Orientation Classroom, Adult High School Rochester Street,"***Please note that until schools are back in session, you will not be placed to volunteer in a classroom setting. Orientation training will be done on-line until further notice.  You can contact Heather Kotelniski for the information required to proceed (hkotelniski@onfe-rope.ca). We continue to follow the guidelines of the OCDSB, Ottawa Public Health, and Canada Public Health and we thank you for your patience.***


Please note that all volunteer positions are September to June each year. We do not have summer volunteer positions available. 


Adult High School - Central Orientation Class is designed for newly-arrived students between 18 and 20 years of age who require ELD support. They receive English Language and Math support. Students leave the Centre to take other courses at the Adult HS or to enter the workforce. 


ALL VOLUNTEERS MUST BE 18 YEARS OF AGE AND OLDER.


A RECENT POLICE BACKGROUND CLEARANCE TO SERVICE THE VULNERABLE SECTOR IS REQUIRED FOR ALL VOLUNTEER POSITIONS. All volunteers assist under the supervision of a teacher. If you can help, please register online on our website and quote this volunteer opportunity. Thank you for your gift of time.", Ottawa Network for Education - Ottawa Volunteers in Education," Jul 24, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41541
Assist Syrian students (Kindergarten to grade 12), various schools,"***Please note that until schools are back in session, you will not be placed to volunteer in a classroom setting. Orientation training will be done on-line until further notice.  You can contact Heather Kotelniski for the information required to proceed (hkotelniski@onfe-rope.ca). We continue to follow the guidelines of the OCDSB, Ottawa Public Health, and Canada Public Health and we thank you for your patience.***


Please note that all volunteer positions are September to June each year. We do not have summer volunteer positions available. 


English Language Development (ELD/ESL) - (English Language Development (ELD), English as a Second Language (ESL)) tutors/volunteers needed to support 500 Syrian refugee students who are coming to our OCDSB schools and require extra support. 


ALL VOLUNTEERS MUST BE 18 YEARS OF AGE AND OLDER.


You would be working with students primarily on their English (reading & writing) along with assisting them to adapt to their new environment. Self-paced training is required (approx. 3 hours), details will follow upon your registration. A RECENT POLICE VULNERABLE SECTOR CHECK (PVSC) IS REQUIRED FOR ALL VOLUNTEER POSITIONS. All volunteers assist under the supervision of a teacher. If you can help, please register online on our website and quote this volunteer opportunity. Thank you for your gift of time.", Ottawa Network for Education - Ottawa Volunteers in Education," Jul 24, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41540
Math Tutors, various schools,"***Please note that until schools are back in session, you will not be placed to volunteer in a classroom setting. Orientation training will be done on-line until further notice.  You can contact Heather Kotelniski for the information required to proceed (hkotelniski@onfe-rope.ca). We continue to follow the guidelines of the OCDSB, Ottawa Public Health, and Canada Public Health and we thank you for your patience.***

Please note that all volunteer positions are September to June each year. We do not have summer volunteer positions available. 


Help a child understand math concepts by becoming a math tutor. 


ALL VOLUNTEERS MUST BE 18 YEARS OF AGE AND OLDER.

Professional development training, facilitated by OCDSB Math coaches, will be offered periodically during the school year. Attendance to at least one session is recommended. Invitations to attend training sessions with more details will be sent periodically to all interested Math volunteers. If you are interested in helping students in Grades 3 to 8 become enthusiastic and successful in Math we would really appreciate hearing from you! A RECENT POLICE VULNERABLE SECTOR CHECK (PVSC) IS REQUIRED FOR ALL VOLUNTEER POSITIONS. (Instructions on how to get a PVSC will be emailed to you after you apply on-line). All volunteers assist under the supervision of a teacher. If you can help, please register online on our website and quote this volunteer opportunity. Once the screening process is complete and approved, you will be contacted by the school volunteer coordinator to set-up a time for an interview to discuss the details/ scheduling. Thank you for your gift of time.", Ottawa Network for Education - Ottawa Volunteers in Education," Jul 24, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41539
