Position,Location,Category,Organization,Date Posted,Websites,Description
Peer Mentor - SUPPORT AT RISK KIDS,"Toronto, Ontario",Children and Youth,Youth Assisting Youth,2020-06-30,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=225361,"

 



 

Change a Life... Become a Mentor!
We need volunteers aged 16 to 29 to go one-on-one with newcomer children!
Help your mentee have a better life through the magic of friendship!
Who are we?
 
Youth Assisting Youth is a GTA and York Region non-profit that supports newcomer and at-risk youth ages 6-15. We pair children with older mentors to help them to develop their social skills, leadership abilities, and resilience. Our goal is to help kids stay strong and have fun through the power of friendship. 
It only takes 3 hours a week and you can do all sorts  of activities  with your mentee; you can play sports, play video games, arts and crafts, cooking, and more! By spending quality time with your mentor, you are helping them to become more confident, independent, and resilient. You’ll also have the chance to attend free events like Raptors and Blue Jays games, trips to Canada’s Wonderland, bowling nights, and more with your mentee!
 
How does it work?

We pair you with a child (aged 6 to 15) based on common interests, background and where you live. From there, the mentoring begins, with ongoing support from us.

You will share experiences, skills, and hobbies and inspire a young person to help them develop their confidence and resiliency.
You can volunteer on your schedule (3 hours per week over one year) and close to your home.
All mentors must be between the ages of 16 and 29. MALE MENTORS ARE IN HIGH DEMAND!

Interested in becoming a mentor? Email Daulton Scott  to apply: dscott@yay.org
 
Connect with Us
§  Facebook - https://www.facebook.com/youthassistingyouth/
§  Twitter - @YouthAssistingYAY
§  Instagram - @youthassistingyouth
§  Youtube - Youth Assisting Youth
§  Website - https://youthassistingyouth.com/

 
 

"
MENTOR NEWCOMER KIDS AGES 6-15,"Toronto, Ontario",Children and Youth,Youth Assisting Youth,2020-06-30,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=582285,"

YOUTH ASSISTING YOUTH IS LOOKING FOR VOLUNTEER MENTORS!
Give a newcomer child hope by being their friend. Help them to develop their life skills while you gain experience working with kids. 
 
About Youth Assisting Youth and our volunteer opportunity:
Youth Assisting Youth is a non-profit organization, dedicated to helping at-risk and newcomer children and youth (ages 6-15) find their way by providing them with a Youth Peer Mentor (ages 16-29). Mentors are asked to spend 3 hours a week with their mentee for one year to help them develop their social and leadership skills. 98% of our kids walk away from our program feeling motivated to stay in school and work harder for their future.
And it's not just the child who benefits from the program! Mentors gain valuable experience that can be applied to several fields, including teaching, social work, and counseling. We also give our matches access to free events such as Raptors and Blue Jays games, trips to Canada's Wonderland, and much more!
Application Details:

Email Daulton Scott at dscott@yay.org to apply
Attend two volunteer trainings to prepare you to work with at-risk and newcomer children
2 Canadian references are required (you must have known them for at least 6 months)
Male applicants are highly encouraged to apply!

 
Connect with Us
§  Facebook - https://www.facebook.com/youthassistingyouth/
§  Twitter - @YouthAssistingYAY
§  Instagram - @youthassistingyouth
§  Youtube - Youth Assisting Youth
§  Website - https://youthassistingyouth.com/

"
Animal Foster Parent,Ontario,Environment and Animals,Guardian's Best Animal Rescue Foundation,2020-06-30,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=601927,"

If you are spending more time at home these days, consider sharing it with an animal who needs a temporary home.  
 
Team Cat Rescue
E-mail: info@teamcatrescue.ca
Instagram: @teamcatrescueca
Website: https://www.teamcatrescue.ca/contact-us
 
Niagara Dog Rescue 
E-mail: info@niagaradogrescue.org
Instagram: @niagaradogrescue
Website: https://www.niagaradogrescue.org
 
Toronto Kitten Rescue
E-mail: info@torontokittenrescue.ca
Instagram: @torontokittenrescue
Website: http://www.torontokittenrescue.ca
 
Gentle Jake’s CoonHound Rescue 
E-mail: houndrescue@yahoo.ca
Instagram: @gentlejakescoonhound
Website: https://www.coonhoundrescue.ca
 
Ava StockYards 
E-mail: ava@actionvolunteersforanimals.com
Instagram: @avastockyards
Website: www.avacats.org/volunteer/form-foster
 
Redemption Paws 
E-mail: info@redemptionpaws.org
Instagram: @redemptionpaws
Website: https://redemptionpaws.org
 
Just Paws Animal Rescue 
E-mail: info.justpaws@gmail.com
Instagram: @justpawsanimalrescue
Website: https://justpaws.weebly.com
 
All Creatures Rescue
E-mail: allcreaturesrescue@outlook.com
Instagram: @allcreaturesto
Website: http://allcreaturesrescue.ca
 
Fetch and Release Rescue 
E-mail: fardogrescue@gmail.com
Instagram: @fetch_and_releash
Website: https://www.fetchandreleash.ca
 
Golden Rescue Canada 
E-mail: communications@goldenrescue.ca
Instagram: @goldenrescuecanada
Website: https://www.goldenrescue.ca
 
HelPaws 
E-mail: info@helpaws.com
Instagram: @helpaws
Website: https://helpaws.com
 
Rabbit Rescue Inc 
E-mail: haviva@rabbitrescue.ca
Instagram: @rabbitrescueinc
Website: https://rabbitrescue.ca
 
Canine Haven 
E-mail: info@caninehavenrescue.com
Instagram: @caninehaven
Website: https://www.caninehavenrescue.com
 
Save Our Scruff 
E-mail: info@saveourscruff.org
Instagram: @saveourscruff
Website: https://www.saveourscruff.org
 
Coveted Canines Rescue
E-mail: info@covetedcanines.org
Instagram: @covetedcanines
Website: https://covetedcanines.org
 
Jack Russell Network Canada
E-mail: website@jrncanada.org
Instagram: @jackrussellnetworkcanada
Website: https://www.jrnc.org
 
Voz Animal Mexico
E-mail: vozanimalmexico@gmail.com 
Instagram: @vozanimalmx
   
Jack Russell Terrier Rescue Ontario
E-mail: board@russellrescue.org
Instagram: @jack_russell_rescue_ontario
Website: https://russellrescue.org
 
Taffy's Legacy Canine Rescue & Rehabilitation
E-mail: taffyslegacy@gmail.com
Instagram: @taffyslegacycaninerescue
Website: https://www.taffyslegacy.com
 
Homeward Bound Rescue
E-mail: info@homewardboundrescue.ca
Instagram: @homewardboundrescue
Website: https://homewardboundrescue.ca
 
Fur-ever Able Dog Rescue and Rehab Canada
E-mail: fureverable@hotmail.com
Instagram: @fureverable
   
Salty Animal Rescue 
E-mail: info@saltyanimalrescue.com
Instagram: @saltyanimalrescue
Website: https://saltyanimalrescue.com
 
Forgotten Ones Cat Rescue
E-mail: contact@forgottenones.ca
Instagram: @forgottenonescatrescue
Website: http://www.forgottenones.ca
 
Project Paws Dog Rescue 
E-mail: projectpawsdr@gmail.com
Instagram: @projectpawsdogrescue
Website: https://www.projectpawsdogrescue.com
 
Coveted Canines
E-mail: Projectpawsdr@gmail.com
Instagram: @covetedcanines
Website: https://www.projectpawsdogrescue.com
 
Snookie’s Society
E-mail: info@snookiessociety.com
Instagram: @snookies_society
Website: http://snookiessociety.com
 
Canine Haven 
E-mail: info@caninehavenrescue.com 
Instagram: @caninehaven
Website: https://www.caninehavenrescue.com
 
CarescueTeam 
E-mail: carescuet@gmail.com
Instagram: @carescueteam
Website: www.carescueteam.com
 
Finding Them Homes
E-mail: adoptions@findingthemhomes.com
Instagram: @findingthemhomes
Website: www.findingthemhomes.com
 
Boston Terrier Rescue Canada
E-mail: info@bostonterrierrescuecanada.com
Instagram: @bostonterrierrescueca
Website: www.bostonterrierrescuecanada.com
 
Canadian Dachshund Rescue
E-mail: info@wienerdogrescue.com
Instagram: @canadiandachshundrescue
Website: https://www.canadiandachshundrescue.com
 
Toronto Rabbit Rescue
E-mail: info@torontorabbitrescue.org

Instagram: @torontorabbitrescue

Website: http://torontorabbitrescue.org
 
Pumpkin’s Acres
E-mail: info@pumpkinsacres.ca
Instagram: @pumpkinsacres
Website: https://www.pumpkinsacres.ca
 
The Dog Rescuers Inc
E-mail: info@thedogrescuersinc.ca
Instagram: @thedogrescuersinc
Website: https://www.thedogrescuersinc.ca
 
Bruno Project St. Lucia
E-mail: brunoprojectstluica@gmail.com

Instagram: @bruno_project_stluciaanimals

Website: https://brunoproject.org
 
Out of the Shadows Animal Rescue
E-mail: ootshadowsrescue@gmail.com
Instagram: @ootshadowsrescue
Website: https://ootshadowsrescue.wixsite.com/website
 
Etobicoke Humane Society
E-mail: info@etobicokehumanesociety.com
Instagram: @etobicokehumanesociety
Website: https://etobicokehumanesociety.com
 
All Paws Matter Dogs Rescue
E-mail: allpawsmatterca@gmail.com
Instagram: @allpawsmatter
Website: https://allpawsmatter.ca

K9 Crusaders
E-mail: 4k9.crusaders@gmail.com
Instagram: k9_crusaders
Website: wwwk9c.ca
 
Cause 4 Paws Toronto
E-mail: c4ptoronto@gmail.com
Instagram: cause4pawstoronto
Website: https://c4ptoronto.com
 

"
Amazon App Developer,"Toronto, Ontario",IT Support,Ascend Canada,2020-06-29,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=609259,"

We're looking for talented volunteer Amazon App Developers to update the Ascend Canada web apps. The developer will be responsible for managing API integration and managing content and program delivery through the web app. This is an exciting volunteer position for someone who can manage multiple projects in addition to their demanding day jobs. This person is passionate about Diversity & Inclusion and is looking at ways to give back to the community.

Duties of a Volunteer include

    Support integration of different API's – Eventbrite, LinkedIn, CRM, Click Dimensions, Power BI, Dynamics 365
    Working with other teams to make content and forums available on the app for members 
    Using Amazon codecommit and Lightsail manage data flows between the website and CRM

Apply only if you have direct experience working with Amazon Codecommit an Lightsail. 


Industry - Not-for-Profit
Employment Type – Volunteer

This opportunity is NOT open to students. Students kindly email: ascendstudentchapteraffairs [at] gmail.com

"
Microsoft CRM Developer,"Toronto, Ontario",IT Support,Ascend Canada,2020-06-29,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=609256,"

						We're looking for talented volunteer Microsoft Dynamics 365 CRM Developers to update and report for Ascend Canada. The developer will be responsible for managing API integration and monthly and adhoc reporting. This is an exciting volunteer position for someone who can manage multiple projects in addition to their demanding day jobs. This person is passionate about Diversity & Inclusion and is looking at ways to give back to the community.

Duties of a Volunteer include

    Support integration of different API's – Eventbrite, LinkedIn, Click Dimensions, Power BI to Microsoft Dynamics 365
    Working with management teams to pull reports using Microsoft Dynamics 365
    Using MS Dynamics 365 to update records for different members 

Please apply only if you have direct experience in Microsoft Dynamics 365. 

Industry - Not-for-Profit
Employment Type – Volunteer

This opportunity is NOT open to students. Students kindly email: ascendstudentchapteraffairs [at] gmail.com
					
"
Writer,"Toronto, Ontario","Marketing, Communications, and Fundraising",Ascend Canada,2020-06-29,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=592886,"

Wanted talented volunteer writers to help shape and communicate the Ascend brand through compelling copy. 
You will be responsible for writing effective copy for all types of marketing materials both online and offline. Create email content, event brochures, website content and more. This is an exciting volunteer position for someone able to manage multiple projects in addition to their demanding day jobs. You should be meticulous about content quality, passionate about Diversity & Inclusion. This is an great way to give back to the community.
Duties of a volunteer writer include

Writing different types of copy depending on its purpose.
Working with marketing and other volunteer streams to establish tone of voice and appropriate writing styles.
Collaborating with teams to produce relevant copy for emails, event brochures, etc.
Working on website copy alongside the Digital operations team ensuring copy works effectively.
Working alongside marketing, communication and events teams to write effective email marketing materials.
Ensure the quality and accuracy of your copy.
Editing and rewriting copy written by other members of the marketing and events team.

Our Ideal background of a writer

A passionate and committed writer with a love of writing exciting copy.
Excellent writing and speaking skills.
Solid understanding of online copy writing.
Strong attention to detail is essential for this position.

Industry - Not-for-Profit
Employment Type – Volunteer
This opportunity is NOT open to students. Students kindly email: ascendstudentchapteraffairs [at] gmail.com


"
Web Developer,"Toronto, Ontario",IT Support,Ascend Canada,2020-06-29,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=593262,"

We're looking for talented volunteer Web Developers to update the Ascend Canada website. The developer will be responsible for managing API integration and updating/ adding content, images, videos, links for the website. This person will also help management team to pull reports for analysis. This is an exciting volunteer position for someone who can manage multiple projects in addition to their demanding day jobs. This person is passionate about Diversity & Inclusion and is looking at ways to give back to the community.

Duties of a Volunteer include

Edit content for ascendleadership.ca website using Wordpress
Update/ Add Images/ Videos to ascendleadership.ca

Support integration of different API's – Eventbrite, LinkedIn, CRM, Click Dimensions, Power BI

Working with management teams to pull reports using Power BI

Using MS Dynamics 365 to update records for different groups – Members, Volunteers and Sponsors 



Our Ideal background of a web developer



    Working knowledge of API development - e.g. Amazon Code Commit and Lightsail

Working knowledge of HTML/ CSS/ JavaScript

Working knowledge of WordPress

Working knowledge of MS Dynamics 365



Industry - Not-for-Profit
Employment Type – Volunteer
This opportunity is NOT open to students. Students kindly email: ascendstudentchapteraffairs [at] gmail.com

"
Mover - GTA ,"Toronto, Ontario",COVID-19 Response,Shelter Movers,2020-06-29,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=556201,"


Shelter Movers provides moving and storage services at no cost to women and children fleeing abuse. We are the only organization of our kind in Canada, and our volunteers are no less exceptional. Every year, in collaboration with community partners, our volunteer teams contribute over 15,000 hours to support people transitioning to lives free of violence and abuse.



About The Mover Role:


Access to moving and storage services are a significant barrier to fleeing abuse. Movers use their time and energy to help our clients overcome these barriers. They are the ‘helping hands’ and ’boots on the ground’ that support our clients at a critical moment.


Shelter Movers’ volunteer move teams are a grassroots response to Violence Against Women in our communities. Join us!



Responsibilities:


Meet the volunteer team (including other Movers) at an arranged time and place


Move the client’s belongings in and out of vehicles


Transport belongings to a predetermined location


Maintain communication with Lead Mover and other Movers


Respect client confidentiality


Uphold Shelter Movers’ protocols and procedures


Be aware of trauma-informed care when interacting with clients (training will be provided)


Work with private security and law enforcement (led by Lead Mover) when necessary


Must be able to lift a minimum of 20lbs.


Children may accompany clients on a move, but volunteers do not provide child care and have limited interaction with children. Child care and supervision is provided by clients or our agency partners.



Time Commitment:


We offer flexible scheduling. Movers can join us on moves in two ways:


By signing up for one move at a time, as their schedules permit, and/or:


By committing to a regular weekly or monthly schedule


Most moves average around 4 hours, depending on distance and complexity. A minimum of 2 moves a month is encouraged.



Essential Skills & Knowledge:


No previous experience or education is required


Access to e-mail and phone


Able to lift a minimum of 20lbs


Able to lift moderately heavy boxes/furniture with a team of other movers


A driver's licence and ability to drive rental vehicles are strong assets


Reliable work habits


Maturity and good judgement


Ability to remain calm in potentially stressful situations


Ability to be flexible and adapt to changes


Strong verbal communication skills


Fluency in a second language is an asset


Movers are expected to maintain confidentiality and provide trauma-informed care to clients (training is provided), and have regular check-ins with staff to support continuous improvement.



As a Mover at Shelter Movers:


You’ll gain hands-on experience on the front lines of our organization, providing moving and storage services for our clients.


You’ll receive training in preparation for your role, and have access to ongoing training opportunities.


You’ll work with a great team of passionate volunteers and supporters.


Movers who complete 6 moves within the previous 3 months can receive a confirmation of volunteering. 


Shelter Movers volunteers must be at least 18 years of age, complete an interview process, attend an orientation for new volunteers, in addition to signing a confidentiality agreement and obtaining a criminal record check.

"
Mover,"Toronto, Ontario",COVID-19 Response,Shelter Movers,2020-06-29,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=516258,"

Shelter Movers is a volunteer-based organization that provides moving and storage services at no cost to women and children experiencing domestic abuse
Movers are key to our organization's work in helping victims of domestic violence. Movers make up the bulk of our volunteers, so you'll be in good company!
A Move Volunteer participates in each of the three types of moves: Urgent Exit, Escorted Move, and Resettlement Move. In a group of 2-6 movers, movers help pack and move a Client’s belongings. Movers who have a valid driver’s license may also be asked to drive the moving vehicles.
This is a great opportunity for someone who wants to make a Big Impact in a small amount of time. Each move is an average of ~4 hours, and you can sign up for as many moves as you would like. However, we encourage a minimum of 2 moves per month. 
Major Responsibilities

Meet other movers at arranged time and place
Move Client’s belongings in and out of vehicles
Provide trauma informed care and respect for Client confidentiality
Continuously conduct risk assessments throughout a move
Maintain communication with all movers during move
Transport client's personal belongings to pre-determined location (Client's children may accompany some of the moves)
Liaise with volunteer team, private security, law enforcement
Must be able to lift a minimum of 20lbs to qualify

Time Requirements: flexible scheduling, approx. 4-8 hours per month.
Knowledge & Skills

Able to lift moderately heavy boxes/furniture
Friendly and sociable
Good judgement skills
Able to cope with potentially stressful situations
Able to maintain confidentiality and provide trauma informed care to clients
Strong communication skills
Flexible and able to adapt to change
Ability to speak additional languages is an asset!

Qualifications & Requirements

Volunteers must be 18 years of age or older
No previous experience or education is required
All volunteers must attend Volunteer Orientation in order to complete moves
Volunteers are required to review move procedures which will be provided at Volunteer Orientation
All volunteers must obtain police background check
All volunteers will coordinate regular check ins with SMGT staff to support learning and performance management
Driver's licence and ability to drive rental vehicle are an asset

Move Volunteers will be provided with training in trauma informed care.
To apply as a mover, please send an email to: TorontoVolunteers@sheltermovers.com indicating your availability, your interest in volunteering with us, and a few words about yourself. 

"
Driver- York Region,"York Region, Ontario",COVID-19 Response,Shelter Movers,2020-06-29,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=598902,"


How to Apply / Contact

"
Driver,"Toronto, Ontario",COVID-19 Response,Shelter Movers - Toronto,2020-06-29,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=556205,"


Shelter Movers provides moving and storage services at no cost to women and children fleeing abuse. We are the only organization of our kind in Canada, and our volunteers are no less exceptional. Every year, in collaboration with community partners, our volunteer teams contribute over 15,000 hours to support people transitioning to lives free of violence and abuse.



About The Driver Role:


Access to moving and storage services are a significant barrier to fleeing abuse. Movers and Drivers use their time and energy to help our clients overcome these barriers. They are the ‘helping hands’ and ’boots on the ground’ that support our clients at a critical moment.


Shelter Movers’ volunteer move teams are a grassroots response to Violence Against Women in our communities. Join us!



Responsibilities:


Meet the volunteer team (including other Drivers) at an arranged time and place


Move the client’s belongings in and out of vehicles


Drive rental vehicle and transport belongings to a predetermined location


Maintain communication with Lead Mover and other Movers


Respect client confidentiality


Uphold Shelter Movers’ protocols and procedures


Be aware of trauma-informed care when interacting with clients (training will be provided)


Work with private security and law enforcement (led by Lead Mover) when necessary


Must be able to lift a minimum of 20lbs.


Children may accompany clients on a move, but volunteers do not provide child care and have limited interaction with children. Child care and supervision is provided by clients or our agency partners.



Time Commitment:


We offer flexible scheduling. Drivers can join us on moves in two ways:


By signing up for one move at a time, as their schedules permit, and/or:


By committing to a regular weekly or monthly schedule


Most moves average around 4 hours, depending on distance and complexity. A minimum of 2 moves a month is encouraged.



Essential Skills & Knowledge:


No previous experience or education is required


Access to e-mail and phone


Able to lift a minimum of 20lbs


Able to lift moderately heavy boxes/furniture with a team of other movers


Drivers must be at least 21 years of age


A class G2 or ‘full’ G driver’s licence


Ability to drive rental vehicles (medium to large cargo vans)


Ability to drive a 16"" truck is an asset


Reliable work habits


Maturity and good judgement


Ability to remain calm in potentially stressful situations


Ability to be flexible and adapt to changes


Strong verbal communication skills


Fluency in a second language is an asset


Drivers are expected to maintain confidentiality and provide trauma-informed care to clients (training is provided), and have regular check-ins with staff to support continuous improvement.



As a Driver at Shelter Movers:


You’ll gain hands-on experience on the front lines of our organization, providing moving and storage services for our clients.


You’ll receive training in preparation for your role, and have access to ongoing training opportunities.


You’ll work with a great team of passionate volunteers and supporters.


Drivers who complete 6 moves within the previous 3 months can receive a confirmation of volunteering.


Shelter Movers volunteers must be at least 18 years of age (21 to be a driver), complete an interview process, attend an orientation for new volunteers, in addition to signing a confidentiality agreement and obtaining a criminal record check.

"
Digital Marketing Coordinator,"Toronto, Ontario",COVID-19 Response,Shelter Movers,2020-06-29,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=597179,"


Shelter Movers provides moving and storage services at no cost to women and children fleeing abuse. We are the only organization of our kind in Canada, and our volunteers are no less exceptional. Every year, in collaboration with community partners, our volunteer teams contribute over 15,000 hours to support survivors transitioning to lives free of violence and abuse.
 
 
About The Digital Marketing Coordinator Role:
 
Reporting to the National Director of Marketing and Communications, the Digital Marketing Coordinator (DMC) is responsible for creating content for web and social media, keeping our channels updated, measuring the success of digital marketing campaigns, and collaborating with other marketing and communications volunteers.
  
Responsibilities include:
 


Coming up with ideas for web and social media content pertaining to Shelter Movers and our mission.


Writing clear, concise copy, and adapting it for different platforms.


Taking engaging photos for web and social media posts.


Creating basic graphics or infographics to go along with blog and social media posts.


Posting to social media using HootSuite.


Identifying trending topics related to Shelter Movers and the Violence Against Women sector, and identifying ways to take part in those conversations.


Using Google and social media analytics to create reports on the performance of website content and social media posts.


Maintaining and measuring the success of digital advertising campaigns using Facebook, and Google Ads.


Collaborating with marketing & communications volunteers in other cities to ensure content  can be used across Shelter Movers chapters.


Having regular check-ins with the National Director of Marketing and Communications.


 
 
Time Commitment:
 


4 to 8 hours a week.


A 3 month commitment is strongly preferred.


 
 
Essential Skills & Knowledge:
 


A passion for Shelter Movers’ mission of supporting women and children fleeing violence and abuse.


An interest in a wide variety of work in Marketing and Communications.


A background in Marketing, Communications, Public Relations or Journalism is an asset.


Professional experience using social media, particularly Facebook, Instagram, Twitter and LinkedIn as well as a social media management tool like HootSuite.


Knowledge of WordPress and web content creation is an asset.


Ability to learn and adapt to new technologies and digital marketing platforms.


Excellent verbal and written communication skills.


A passion for storytelling.


The ability to maintain a voice that is supportive, approachable, anti-racist, anti-oppresive, inclusive, and accurate. 


Ability to adapt to the ever-changing language used to discuss Violence Against Women.


Excellent research skills and the ability to find accurate, credible sources, and cite them correctly.


The ability to work as part of a team.


Reliable work habits.


The ability to prioritize tasks and shift priorities as necessary.


A long-term interest in the Violence Against Women (VAW) sector, and Marketing and Communications.


 
 
As a Digital Marketing Coordinator at Shelter Movers:
 


You’ll be supporting women and children fleeing violence and abuse.


You’ll be part of a unique, growing, high-achieving organization.


You’ll work with an experienced Marketing and Communications professional, and gain experience in Digital Marketing & Communications and the Non-Profit sector.


You’ll work with a team of diverse, passionate volunteers, staff, and supporters.


You’ll receive training in preparation for your role, and have access to ongoing training opportunities.


After 3 months of satisfactory service, a confirmation of volunteering can be provided. After 6 months, we'd be happy to provide a personalized letter of reference.


 
 
Shelter Movers volunteers must be at least 18 years of age, complete an interview process, attend an orientation for new volunteers, in addition to signing a confidentiality agreement and obtaining a criminal record check.

"
Translator (English to French),"Toronto, Ontario","Marketing, Communications, and Fundraising",Crohn's and Colitis Canada,2020-06-26,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=607244,"

Crohn’s and Colitis Canada promises to find the cure for Crohn’s disease and ulcerative colitis and improve the lives of children and adults affected by these chronic diseases. Volunteers are key team members who help us deliver on this promise to the 1 million Canadians touched by these devastating chronic diseases. 

Are you the right fit to join our team as a translator?

As a translator, you will translate various materials from English to French to help to expand the outreach to the francophone Crohn’s and Colitis Canada community, including:


Reviewing existing translated materials to ensure familiarity and consistency with our voice  
Translating web pages, campaign documents and other materials  
Providing review of existing web pages to ensure they are up-to-date and relevant  
Work within all Crohn's and Colitis Canada policies, practices and guidelines
     


Time Commitment:


3-5 hours per week depending on need, on a sporadic basis (some weeks more, some weeks less)   
Flexible timing based on your availability, working within agreed upon response times and deadlines  
Commitment of 6 months requested initially, with opportunity to extend based on mutual agreement
     


What you bring:


Professional translation background is ideal 
Knowledge of medical terminology is beneficial, especially Crohn's disease and ulcerative colitis (but not required) 
Capacity to translate from English to French in a consistent voice with existing materials
     


What we offer:


A community of support, a dedicated staff partner and role-specific training 
An opportunity to use and grow professional skills, expand your network
A hands-on chance to make a meaningful difference in the lives of people living with Crohn’s and ulcerative colitis in your community


 

"
Teach Bread Baking,"Toronto, ON",Trades and Maintenance,St. John the Compassionate Mission,2020-06-26,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=608360,"

St. John Bakery is a non profit bakery that has been baking traditional Breton bread since 1986.  
We received most of our recipes and techniques form a sister bakery now closed in Vau Blanc (Bretagne).
We would like to share some of our concerns and experiences with another baker who could help us improve the quality of the bread.
 
About Us
St. John the Compassionate Mission was founded in Toronto’s east end in 1986, providing meals and a wide range of programs to marginalized individuals, in a nurturing community setting. St. John’s operates two successful non-profit social enterprises — a bakery and a thrift shop — which provide valuable work experience, training, and dignity for workers, many of whom are homeless or on social assistance. 

"
Kitchen Cleaning Volunteer,"Toronto, Ontario",3. Suitable for Groups,St. John the Compassionate Mission,2020-06-26,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=225130,"

The mission serves hundreds of meals per week. A clean kitchen is critical to our meal preps. We need individuals who can help us keep on top of cleaning duties in the kitchen - everything from cleaning and organizing the fridge to washing floors and general kitchen prep.  The work is hectic and it can be fun but most important, it is rewarding.
 
Skills and experience required: No experience necessary, just an eagerness to help those in need
Task requirements: Walking and standing
Training: Orientation and ongoing supervision
Time commitment:

2 - 4 hours minimum
We will work with your availability

Required language: English
Minimum age: 18
Transportation:

Close to subway station, bus, or street car stop
Paid parking available

Accessibility: Accessible building 
Benefits: We provide coffee/tea and treats
 
About Us
St. John the Compassionate Mission was founded in Toronto’s east end in 1986, providing meals and a wide range of programs to marginalized individuals, in a nurturing community setting. St. John’s operates two successful non-profit social enterprises — a bakery and a thrift shop — which provide valuable work experience, training, and dignity for workers, many of whom are homeless or on social assistance. 

"
Thrift Store Volunteer - Non Profit,"Toronto, Ontario",6. Suitable for People Learning English,St. John the Compassionate Mission,2020-06-26,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=227425,"

 
We need volunteers who would like to work in our thrift store on Danforth near Woodbine. The store operates to support the work of our long standing inner-city Drop-In, St John the Compassionate Mission. 

At St John's Mission, we try to feed not only the person's stomach but their heart as well, as we find that people in a city that is impersonal, are often more hungry for human connection than they are for a meal...We don't count the number of people we serve as much as understanding that each person welcomed is unique and irreplaceable and worthy of our attention and care.
Volunteering at the mission in whatever capacity must come from this profound sense of what makes us human. Help us to help those in need!
 Responsibilities:

Sorting and pricing clothes, displaying goods and dealing with customers. The stores is open every day (except Sundays) from 10 to 6 pm. We need people who can commit to one or more shifts per week at specific times.
 Training:

On-site training provided. Located on the Danforth minutes from Woodbine subway.

Additional Information:
Required language:
English 

Transportation:

Close to subway station, bus and street car
Paid parking available

Minimum age:

14

Minimum hours:

2-4 hours per week
between 10am and 6pm

Task requirements:
Accessibility:

Accessible building 


Benefits:

Support a non-profit and charitable organization. 
This position can also serve as Canadian Work experience.


"
Thrift Store - Sales Associate,"Toronto, Ontario",Administration and Customer Service,St. John the Compassionate Mission,2020-06-26,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=608438,"

Responsibilities:
-Sorting out, pricing and displaying clothes, books, electronics etc.
-Interacting with customers and positively building relationships
-The store is open Monday - Saturday from 10:00am to 6:00pm (we are closed Sunday)
-We would like volunteers to commit to one or more shifts per week.
-Shifts are 4.5 hours and begin at 9:30am and 2:00pm
 
Training:
 
1) Mandatory volunteer orientation Saturday, June 20, 2020 9:30 AM at the Mission
2) Mandatory on the job training session Saturday June 20, 2020 - 1100am at the Thrift Store
 
Email: info@stjohnsmission.org

"
TILE volonteer PERSON,"toronto, Ontario",Trades and Maintenance,St. John the Compassionate Mission,2020-06-26,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=559738,"

 
THE MISSION RUNS A NOT FOR  PROFIT SOCIAL ENTERPRISE BAKERY
WE NEED TO TILE WITH CERAMIC TILES OUR BAKERY WALLS
THE AREA TO BE COVERED IS 4O FEET BY 20 FEET
WE NEED TO DO THIS BY THE END OF JUNE

"
